Key,Id,English(en),Spanish(es),Italian(it),French(fr),Polish(pl),Ukrainian(uk),Russian(ru),German(de),Hungarian(hu),Romanian(ro),Arabic(ar)
"country_ukraine.desc",8827921455112195,"A country in Europe. Capital is Kyiv.","Un país de Europa. Su capital es Kyiv.","Un paese in Europa. La capitale è Kiev.","Un pays d'Europe. Sa capitale est Kyiv.","Państwo w Europie. Stolicą jest Kijów.","Країна в Європі. Столиця – Київ.","Государство в Европе. Столица — Киев.","Ein Land in Europa. Die Hauptstadt ist Kiew.","Egy ország Európában. A főváros Kijev.","O țară din Europa. Capitala este Kiev.","دولة في أوروبا، عاصمتها كييف."
"crampons",8827921455112196,"Crampons","Crampones","Ramponi","Crampons","Raki","Скоби","Кошки","Steigeisen","Görcsök","crampoane","المسامير"
"crampons.desc",8827921455112197,"Spiky metal grips you attach to boots for ice.","Empuñaduras metálicas puntiagudas que se fijan a las botas para usarlas en el hielo.","Impugnature metalliche appuntite da fissare agli scarponi per usare il ghiaccio.","Poignées métalliques pointues que vous attachez aux bottes pour la glace.","Kolczaste metalowe uchwyty przymocowane do butów. Pozwalają chodzić po lodzie.","Гострі металеві ручки, які ви прикріплюєте до черевиків для льоду.","Металлические накладки с шипами, которые крепятся к ботинкам для катания на льду.","Stachelige Metallgriffe, die Sie gegen Eis an Ihren Stiefeln befestigen.","Tüskés fém markolatokat rögzíthet a csizmához a jéghez.","Mânerele metalice înțepătoare pe care le atașați de cizme pentru gheață.","مقابض معدنية شائكة يمكنك ربطها بالأحذية للجليد."
"cub",8827921455112198,"Cub","Cachorro","Cucciolo","Un lionceau","Młode","дитинча","Детёныш","Jungtier","Kölyök","Pui","شبل"
"cub.desc",8827921455112199,"A baby lion.","Un bebé león.","Un cucciolo di leone.","Un bébé lion.","Mały lew.","Дитинча лева.","Львенок.","Ein Löwenbaby.","Kis oroszlán.","Un pui de leu.","أسد صغير."
"currency_euro",7604111984812032,"Euro Currency","Moneda euro","Valuta Euro","La monnaie euro","Waluta euro","валюта євро","Евро валюта","Euro-Währung","Euro valuta","Moneda euro","عملة اليورو"
"currency_euro.desc",7717548270280708,"Money used in many countries in Europe. You can buy toys and ice cream with euros!","Dinero usado en muchos países europeos. ¡Se pueden comprar juguetes y helados con euros!","Valuta utilizzata in molti paesi europei. Con gli euro puoi comprare giocattoli e gelati!","L'euro est la monnaie utilisée dans de nombreux pays d'Europe. Avec des pièces et des billets en euros tu peux payer.","Waluta używana w wielu krajach Europy. Za euro można kupić zabawki i lody!","Гроші, які використовуються в багатьох країнах Європи. За євро можна купити іграшки та морозиво!","Деньги, используемые во многих странах Европы. За евро можно купить игрушки и мороженое!","In vielen Ländern Europas wird dieses Zahlungsmittel verwendet. Mit Euro können Sie Spielzeug und Eis kaufen!","Európa számos országában használt pénz. Játékokat, fagylaltot euróval vásárolhatsz!","Bani folosiți în multe țări din Europa. Puteți cumpăra jucării și înghețată cu euro!","العملة المستخدمة في العديد من دول أوروبا. يمكنك شراء الألعاب والآيس كريم باليورو!"
"currency_zloty",7717548270280709,"Zloty Currency","Moneda Zloty","Valuta Zloty","La monnaie du zloty","Polska waluta: złoty.","Валюта злотий","Валюта злотый","Zloty Währung","Zloty valuta","Moneda Zloty","عملة الزلوتي"
"currency_zloty.desc",7717548270280710,"The Polish currency is called the złoty. Coins and notes have Polish symbols.","La moneda polaca se llama zloty. Las monedas y los billetes tienen símbolos polacos.","La valuta polacca si chiama złoty. Monete e banconote riportano simboli polacchi.","La monnaie polonaise s'appelle le złoty. On voit les symboles polonais sur les pièces et les billets.","Walutą polską jest złoty. Monety i banknoty mają symbole polskie.","Польська валюта називається злотий. Монети та купюри мають польську символіку.","Польская валюта называется злотый. На монетах и ​​банкнотах изображены польские символы.","Die polnische Währung heißt Złoty. Münzen und Banknoten tragen polnische Symbole.","A lengyel valutát zlotynak hívják. Az érméken és bankjegyeken lengyel szimbólumok vannak.","Moneda poloneză se numește zloty. Monedele și bancnotele au simboluri poloneze.","العملة البولندية هي الزلوتي. تحمل العملات المعدنية والورقية رموزًا بولندية."
"cutter",8827921455112200,"Cutter","Cortador","Taglierina","Un chalutier","Nóż","Різак","Резак","Cutter","Vágó","Cutter","القاطع"
"cutter.desc",8827921455112201,"A small fishing boat used at sea.","Un pequeño barco pesquero utilizado en el mar.","Una piccola barca da pesca usata in mare.","Un petit bateau de pêche utilisé en mer.","Mała łódź rybacka używana na morzu.","Невеликий рибальський човен, який використовується в морі.","Небольшое рыболовное судно, используемое в море.","Ein kleines Fischerboot, das auf See eingesetzt wird.","Tengeren használt kis halászhajó.","O barcă mică de pescuit folosită pe mare.","قارب صيد صغير يستخدم في البحر."
"dairy_vendor",8827921455112202,"Dairy Vendor","Vendedor de productos lácteos","Venditore di latticini","le vendeur de produits laitiers","Sprzedawca produktów mlecznych","Продавець молочних продуктів","Продавец молочных продуктов","Milchverkäufer","Tejtermék eladó","Vanzator de lactate","بائع الألبان"
"dairy_vendor.desc",8827921455112203,"A person who sells milk, butter, and cheese.","Una persona que vende leche, mantequilla y queso.","Una persona che vende latte, burro e formaggio.","Une personne qui vend du lait, du beurre et du fromage.","Osoba sprzedająca mleko, masło i ser.","Людина, яка продає молоко, масло, сир.","Человек, который продает молоко, масло и сыр.","Eine Person, die Milch, Butter und Käse verkauft.","Olyan személy, aki tejet, vajat és sajtot árul.","O persoană care vinde lapte, unt și brânză.","الشخص الذي يبيع الحليب والزبدة والجبن."
"dancing_shoes",8827921455112204,"Dancing Shoes","Zapatos de baile","Scarpe da ballo","Chaussures de danse","Buty do tańca","Танцювальне взуття","Танцевальные туфли","Tanzschuhe","Tánccipő","Pantofi de dans","أحذية الرقص"
"dancing_shoes.desc",8827921455112205,"Shoes made for dancing in a ballroom.","Zapatos hechos para bailar en un salón de baile.","Scarpe fatte per ballare in una sala da ballo.","Chaussures pour danser.","Buty przeznaczone do tańca na sali balowej.","Взуття для бальних танців.","Туфли, предназначенные для танцев в бальном зале.","Schuhe zum Tanzen im Ballsaal.","Bálteremben való tánchoz készült cipő.","Pantofi făcuți pentru dans într-o sală de bal.","أحذية مصممة للرقص في قاعة الرقص."
"danger_sign",8827921455112206,"DANGER Sign","Señal de PELIGRO","Segnale di PERICOLO","Panneau DANGER","Znak NIEBEZPIECZEŃSTWO","Знак НЕБЕЗПЕКИ","Знак ОПАСНОСТЬ","GEFAHR-Zeichen","VESZÉLY tábla","Semn de PERICOL","علامة الخطر"
"danger_sign.desc",8827921455112207,"A sign that warns about danger ahead. Be extra careful.","Una señal que advierte de un peligro inminente. Tenga mucho cuidado.","Un cartello che avverte di un pericolo imminente. Prestare particolare attenzione.","Un panneau qui annonce un danger. Il faut faire très attention.","Znak ostrzegający przed zbliżającym się niebezpieczeństwem. Zachowaj szczególną ostrożność.","Знак, який попереджає про небезпеку попереду. Будьте особливо обережні.","Знак, предупреждающий об опасности. Будьте предельно осторожны.","Ein Schild, das vor einer Gefahr warnt. Seien Sie besonders vorsichtig.","Jel, amely figyelmeztet az előttünk álló veszélyre. Legyen fokozottan óvatos.","Un semn care avertizează despre pericolul din față. Fii deosebit de atent.","إشارة تحذيرية من خطر قادم. توخَّ الحذر الشديد."
"drawbridge",8827921455112208,"Drawbridge","Puente levadizo","Ponte levatoio","Pont-levis","Most zwodzony","Підйомний міст","Подъемный мост","Zugbrücke","Felvonóhíd","Pod mobil","جسر متحرك"
"drawbridge.desc",8827921455112209,"A bridge that lifts to protect a castle entrance.","Un puente que se levanta para proteger la entrada de un castillo.","Un ponte che si solleva per proteggere l'ingresso di un castello.","Un pont qui se lève pour protéger l'entrée d'un château.","Podnoszony most, który chronił wejście do zamku.","Міст, який піднімається, щоб захистити вхід у замок.","Мост, который поднимается, чтобы защитить вход в замок.","Eine Brücke, die sich zum Schutz eines Burgeingangs anheben lässt.","Egy híd, amely a vár bejáratát védi.","Un pod care se ridică pentru a proteja o intrare în castel.","جسر يرتفع لحماية مدخل القلعة."
"dwarf_expert",8827921455112210,"Dwarf Expert","Enano experto","Esperto di nani","Expert nain","Krasnal Ekspert","Знавець гномів","Эксперт по гномам","Zwergenexperte","Törpe szakértő","Expert pitic","خبير الأقزام"
"dwarf_expert.desc",8827921455112211,"A friendly guide who knows all about the dwarfs.","Un guía amigable que sabe todo sobre los enanos.","Una guida amichevole che sa tutto sui nani.","Un guide sympathique qui connaît tout sur les nains.","Przyjazny przewodnik, który wie wszystko o krasnoludkach.","Привітний гід, який знає все про гномів.","Дружелюбный гид, знающий все о гномах.","Ein freundlicher Führer, der alles über die Zwerge weiß.","Barátságos idegenvezető, aki mindent tud a törpékről.","Un ghid prietenos care știe totul despre pitici.","دليل ودود يعرف كل شيء عن الأقزام."
"earth",8827921455112212,"Earth","Tierra","Terra","Terre","Ziemia","земля","Земля","Erde","Föld","Pământ","أرض"
"earth.desc",8827921455112213,"Our home planet with land, air, and water.","Nuestro planeta natal con tierra, aire y agua.","Il nostro pianeta natale con terra, aria e acqua.","Notre planète avec terre, air et eau.","Nasza planeta, z domem powietrzem i wodą.","Наша рідна планета з землею, повітрям і водою.","Наша родная планета с сушей, воздухом и водой.","Unser Heimatplanet mit Land, Luft und Wasser.","Anyabolygónk földdel, levegővel és vízzel.","Planeta noastră natală cu pământ, aer și apă.","كوكبنا هو الأرض والهواء والماء."
"ecosystem",8827921455112214,"Ecosystem","Ecosistema","Ecosistema","Écosystème","Ekosystem","Екосистема","Экосистема","Ökosystem","Ökoszisztéma","Ecosistem","النظام البيئي"
"ecosystem.desc",8827921455112215,"Living things and their home in nature, working together.","Los seres vivos y su hogar en la naturaleza, trabajando juntos.","Gli esseri viventi e la loro casa nella natura, che lavorano insieme.","Ensemble des êtres vivants et leur habitat dans la nature.","Żywe organizmy i ich środowisko naturalne, współpracujące ze sobą.","Живі істоти та їхній дім у природі, спільна робота.","Живые существа и их дом в природе работают вместе.","Lebewesen und ihr Zuhause in der Natur arbeiten zusammen.","Élőlények és otthonuk a természetben, közös munka.","Ființe vii și casa lor în natură, lucrând împreună.","الكائنات الحية وبيئتها في الطبيعة، تعمل معًا."
"education_college_fr",7717548270280711,"Collège in France","Colegio en Francia","Collège in Francia","Le collège","Collège we Francji","Коледж у Франції","Колледж во Франции","Collège in Frankreich","Főiskola Franciaországban","Colegiu din Franța","كلية في فرنسا"
"education_college_fr.desc",7717548270280712,"A school in France for students aged 11 to 14. They have different teachers and study subjects like math, English, science, sports, and history.","Una escuela en Francia para alumnos de 11 a 14 años. Tienen distintos profesores y estudian materias como matemáticas, inglés, ciencias, deporte e historia.","Una scuola in Francia per ragazzi dagli 11 ai 14 anni. Hanno insegnanti diversi e studiano materie come matematica, inglese, scienze, sport e storia.","C'est une école pour les élèves de 11 à 14 ans. Les élèves ont différents professeurs et matières: mathématiques, anglais, sciences, sport, histoire…","Szkoła we Francji dla uczniów w wieku od 11 do 14 lat. Mają różnych nauczycieli i uczą się takich przedmiotów jak matematyka, angielski, przyroda, sport i historia.","Школа у Франції для учнів віком від 11 до 14 років. У них різні вчителі та предмети: математика, англійська мова, природничі науки, спорт та історія.","Школа во Франции для учеников от 11 до 14 лет. У них разные учителя и предметы: математика, английский язык, естественные науки, спорт и история.","Eine Schule in Frankreich für Schülerinnen und Schüler von 11 bis 14 Jahren. Sie haben verschiedene Lehrkräfte und Fächer wie Mathematik, Englisch, Naturwissenschaften, Sport und Geschichte.","Franciaországban a 11–14 éves diákok ebbe az iskolába járnak. Különböző tanáraik és tantárgyaik vannak, például matematika, angol, természettudomány, sport és történelem.","O școală din Franța pentru elevi cu vârste între 11 și 14 ani. Au profesori diferiți și studiază materii precum matematica, engleza, științele, sportul și istoria.","مدرسة في فرنسا للطلاب من عمر 11 إلى 14 عامًا. لديهم معلمون ومواد مختلفة، مثل الرياضيات والإنجليزية والعلوم والرياضة والتاريخ."
"education_ecole_maternelle_fr",7717548270280713,"École Maternelle","Escuela Maternelle","École Maternelle","L’école maternelle","Przedszkole","Еколь Матернель","École Maternelle","École Maternelle","École Maternelle","École Maternelle","مدرسة ماتيرنيل"
"education_ecole_maternelle_fr.desc",7717548270280714,"A school in France for children aged 3 to 5. Children learn by exploring and playing.","Una escuela en Francia para niños de 3 a 5 años. Los niños aprenden explorando y jugando.","Una scuola in Francia per bambini dai 3 ai 5 anni. I bambini imparano esplorando e giocando.","C'est une école pour les enfants de 3 à 5 ans. Les enfants apprennent en explorant et en jouant.","Szkoła we Francji dla dzieci w wieku od 3 do 5 lat. Dzieci uczą się, odkrywając świat i bawiąc się.","Школа у Франції для дітей віком від 3 до 5 років. Діти вчаться, досліджуючи світ і граючись.","Школа во Франции для детей от 3 до 5 лет. Дети учатся, исследуя мир и играя.","Eine Schule in Frankreich für Kinder von 3 bis 5 Jahren. Die Kinder lernen durch Entdecken und Spielen.","Franciaországban a 3–5 éves gyerekek ebbe az iskolába járnak. Felfedezéssel és játékkal tanulnak.","O școală din Franța pentru copiii cu vârste între 3 și 5 ani. Copiii învață explorând și jucându-se.","مدرسة في فرنسا للأطفال من عمر 3 إلى 5 سنوات. يتعلم الأطفال من خلال الاستكشاف واللعب."
"education_ecole_primaire_fr",7717548270280715,"Primary School in France","Escuela primaria en Francia","Scuola primaria in Francia","École élémentaire","Szkoła podstawowa we Francji","Початкова школа у Франції","Начальная школа во Франции","Grundschule in Frankreich","Általános Iskola Franciaországban","Școala primară în Franța","المدرسة الابتدائية في فرنسا"
"education_ecole_primaire_fr.desc",7717548270280716,"A school in France for students aged 6 to 10. Children learn to read, write, and count.","Una escuela en Francia para alumnos de 6 a 10 años. Los niños aprenden a leer, escribir y contar.","Una scuola in Francia per bambini dai 6 ai 10 anni. I bambini imparano a leggere, scrivere e contare.","C'est une école pour les élèves de 6 à 10 ans. Les enfants apprennent à lire, écrire et compter.","Szkoła we Francji dla dzieci w wieku od 6 do 10 lat. Dzieci uczą się czytać, pisać i liczyć.","Школа у Франції для дітей віком від 6 до 10 років. Діти вчаться читати, писати й рахувати.","Школа во Франции для детей от 6 до 10 лет. Дети учатся читать, писать и считать.","Eine Schule in Frankreich für Kinder von 6 bis 10 Jahren. Die Kinder lernen lesen, schreiben und rechnen.","Franciaországban a 6–10 éves gyerekek ebbe az iskolába járnak. Megtanulnak olvasni, írni és számolni.","O școală din Franța pentru copii cu vârste între 6 și 10 ani. Copiii învață să citească, să scrie și să numere.","مدرسة في فرنسا للأطفال من عمر 6 إلى 10 سنوات. يتعلم الأطفال القراءة والكتابة والعد."
"education_lycee_fr",7717548270280717,"Lycée in France","Liceo en Francia","Liceo in Francia","Le lycée","Liceum we Francji","Ліцей у Франції","Лицей во Франции","Lycée in Frankreich","Lycée Franciaországban","Liceul din Franța","مدرسة ثانوية في فرنسا"
"education_lycee_fr.desc",7717548270280718,"A school in France for teenagers aged 14 to 18. Students have different teachers and study subjects like math, English, science, sports, and history. They prepare for a final exam called the Baccalauréat.","Una escuela en Francia para adolescentes de 14 a 18 años. Los alumnos tienen distintos profesores y estudian materias como matemáticas, inglés, ciencias, deporte e historia. Se preparan para un examen final llamado bachillerato.","Una scuola in Francia per ragazzi dai 14 ai 18 anni. Gli studenti hanno insegnanti diversi e studiano materie come matematica, inglese, scienze, sport e storia. Si preparano a un esame finale chiamato esame di maturità.","C’est une école pour les adolescents de 14 à 18 ans. Les élèves ont différents professeurs et matières: mathématiques, anglais, sciences, sport, histoire… Ils préparent un examen final qui s’appelle le baccalauréat.","Szkoła we Francji dla młodzieży w wieku od 14 do 18 lat. Uczniowie mają różnych nauczycieli i uczą się różnych przedmiotów, takich jak matematyka, angielski, przyroda, sport i historia. Przygotowują się do egzaminu końcowego zwanego maturą.","Школа у Франції для підлітків віком від 14 до 18 років. Учні мають різних учителів і вивчають різні предмети: математику, англійську мову, природничі науки, спорт та історію. Вони готуються до випускного іспиту, який називається бакалавреат.","Школа во Франции для подростков от 14 до 18 лет. У учеников разные учителя и предметы: математика, английский язык, естественные науки, спорт и история. Они готовятся к выпускному экзамену, который называется бакалавриатом.","Eine Schule in Frankreich für Jugendliche von 14 bis 18 Jahren. Die Schüler haben verschiedene Lehrer und Fächer wie Mathematik, Englisch, Naturwissenschaften, Sport und Geschichte. Sie bereiten sich auf eine Abschlussprüfung namens Baccalauréat vor.","Franciaországban a 14–18 éves fiatalok ebbe az iskolába járnak. Különböző tanáraik és tantárgyaik vannak, például matematika, angol, természettudomány, sport és történelem. Egy záróvizsgára készülnek, amelynek neve baccalauréat.","O școală din Franța pentru adolescenți cu vârste între 14 și 18 ani. Elevii au profesori diferiți și studiază materii precum matematica, engleza, științele, sportul și istoria. Se pregătesc pentru un examen final numit bacalaureat.","مدرسة في فرنسا للمراهقين من عمر 14 إلى 18 عامًا. لدى الطلاب معلمون ومواد مختلفة، مثل الرياضيات والإنجليزية والعلوم والرياضة والتاريخ. يستعدون لامتحان نهائي يُسمى البكالوريا."
"egg_vendor",8827921455112216,"Egg Vendor","Vendedor de huevos","Venditore di uova","Le vendeur d'œufs","Sprzedawca jajek","Продавець яєць","Поставщик яиц","Eierverkäufer","Tojásárus","Vânzător de ouă","بائع البيض"
"egg_vendor.desc",8827921455112217,"A person who sells eggs.","Una persona que vende huevos.","Una persona che vende uova.","Une personne qui vend des œufs.","Osoba sprzedająca jajka.","Людина, яка продає яйця.","Человек, который продает яйца.","Eine Person, die Eier verkauft.","Egy személy, aki tojást árul.","O persoană care vinde ouă.","الشخص الذي يبيع البيض."
"eggs",8827921455112218,"Eggs","Huevos","Uova","un oeuf","Jajka","Яйця","Яйца","Eier","Tojás","ouă","بيض"
"eggs.desc",8827921455112219,"Food from chickens used for baking and cooking.","Alimento de gallinas utilizado para hornear y cocinar.","Cibo ricavato dai polli e utilizzato per cucinare e cuocere al forno.","C'est la poule qui pond les oeufs. L'oeuf est utilisé pour cuisiner et faire de la pâtisserie.","Znoszą je kury. Używamy do pieczenia i gotowania.","Корм з курей, який використовується для запікання та варіння.","Продукты из кур, используемые для выпечки и приготовления блюд.","Lebensmittel von Hühnern zum Backen und Kochen.","Sütéshez és főzéshez használt csirkékből származó táplálék.","Alimente de la pui folosite pentru coacere și gătit.","طعام من الدجاج يستخدم في الخبز والطبخ."
"eiffel_tower",8827921455112220,"Eiffel Tower","Torre Eiffel","Torre Eiffel","La Tour Eiffel","Wieża Eiffla","Ейфелева вежа","Эйфелева башня","Eiffelturm","Eiffel-torony","Turnul Eiffel","برج إيفل"
"eiffel_tower_elevators",8827921455112222,"Eiffel Tower Elevators","Ascensores de la Torre Eiffel","Ascensori della Torre Eiffel","Les ascenseurs de la Tour Eiffel","Windy Wieży Eiffla","Ліфти Ейфелевої вежі","Лифты Эйфелевой башни","Eiffelturm-Aufzüge","Eiffel-torony liftek","Lifturi din Turnul Eiffel","مصاعد برج إيفل"
"eiffel_tower_elevators.desc",8827921455112223,"Lifts that take visitors up the iron tower.","Ascensores que llevan a los visitantes a la torre de hierro.","Ascensori che portano i visitatori sulla torre di ferro.","Les ascenseurs emmènent les visiteurs en haut de la tour Eiffel.","Windy, którymi zwiedzający mogą wjechać na żelazną wieżę.","Ліфти, які піднімають відвідувачів на залізну вежу.","Лифты, поднимающие посетителей на железную башню.","Aufzüge, die Besucher auf den Eisenturm bringen.","Felvonók, amelyek felviszik a látogatókat a vastoronyba.","Lifturi care urcă vizitatorii în turnul de fier.","المصاعد التي تنقل الزوار إلى أعلى البرج الحديدي."
"eiffel_tower_map",8827921455112224,"Eiffel Tower map","Mapa de la Torre Eiffel","Mappa della Torre Eiffel","La carte de la Tour Eiffel","Mapa Wieży Eiffla","Карта Ейфелевої вежі","Карта Эйфелевой башни","Eiffelturm Karte","Eiffel-torony térkép","Harta Turnului Eiffel","خريطة برج إيفل"
"eiffel_tower_map.desc",8827921455112225,"A map that shows where the famous tall tower in Paris is located.","Un mapa que muestra dónde se encuentra la famosa torre alta de París.","Una mappa che mostra dove si trova la famosa torre alta di Parigi.","Cette carte indique où se trouve la célèbre tour de Paris, appelée la Tour Eiffel.","Mapa pokazująca lokalizację słynnej wysokiej wieży w Paryżu.","Карта, яка показує, де розташована знаменита висока вежа в Парижі.","Карта, показывающая, где находится знаменитая высокая башня в Париже.","Eine Karte, die zeigt, wo sich der berühmte hohe Turm in Paris befindet.","Egy térkép, amely megmutatja, hol található a híres párizsi magas torony.","O hartă care arată unde se află faimosul turn înalt din Paris.","خريطة توضح مكان وجود البرج الطويل الشهير في باريس."
"eiffel_tower_ticket",8827921455112226,"Eiffel Tower ticket","Entrada a la Torre Eiffel","biglietto per la Torre Eiffel","Le billet pour la Tour Eiffel.","Bilet na Wieżę Eiffla","Квиток на Ейфелеву вежу","Билет на Эйфелеву башню","Ticket für den Eiffelturm","Eiffel-torony jegy","Bilet la Turnul Eiffel","تذكرة برج إيفل"
"eiffel_tower_ticket.desc",8827921455112227,"A special paper that lets you visit the famous tall tower in Paris, France.","Un documento especial que te permite visitar la famosa torre alta de París, Francia.","Una carta speciale che ti consente di visitare la famosa torre alta di Parigi, in Francia.","Ce billet permet de visiter la célèbre tour de Paris, la Tour Eiffel.","Specjalny dokument umożliwiający odwiedzenie słynnej wysokiej wieży w Paryżu, we Francji.","Спеціальний папір, який дозволяє відвідати знамениту високу вежу в Парижі, Франція.","Специальная бумага, которая позволит вам посетить знаменитую высокую башню в Париже, Франция.","Eine besondere Zeitung, mit der Sie den berühmten hohen Turm in Paris, Frankreich, besuchen können.","Egy speciális papír, amely lehetővé teszi, hogy meglátogassa a híres magas tornyot Párizsban, Franciaországban.","O hârtie specială care vă permite să vizitați celebrul turn înalt din Paris, Franța.","صحيفة خاصة تسمح لك بزيارة البرج الطويل الشهير في باريس، فرنسا."
"eiffel_tower.desc",8827921455112221,"A tall tower and a symbol of Paris. It's made of iron and is 300 meters talll. You can go up and see the whole city.","Una torre alta, símbolo de París. Está hecha de hierro y mide 300 metros. Puedes subir y ver toda la ciudad.","Un'alta torre, simbolo di Parigi. È fatta di ferro e alta 300 metri. È possibile salire e ammirare l'intera città.","C'est le symbole de Paris. Construite en fer, elle mesure 300 mètres de haut. En haut, on peut admirer toute la ville de Paris.","Wysoka wieża i symbol Paryża. Jest wykonana z żelaza i ma 300 metrów wysokości. Można na nią wejść i zobaczyć całe miasto.","Висока вежа і символ Парижа. Він зроблений із заліза і має 300 метрів у висоту. Можна піднятися і побачити все місто.","Высокая башня, символ Парижа. Она сделана из железа и достигает высоты 300 метров. Поднявшись на неё, можно увидеть весь город.","Ein hoher Turm und ein Wahrzeichen von Paris. Er ist aus Eisen und 300 Meter hoch. Von dort aus hat man einen herrlichen Blick auf die ganze Stadt.","Magas torony és Párizs jelképe. Vasból készült és 300 méter magas. Felmehetsz és megnézheted az egész várost.","Un turn înalt și un simbol al Parisului. Este din fier și are o înălțime de 300 de metri. Poți urca și vezi întreg orașul.","برجٌ شاهق، رمزٌ لباريس. مصنوعٌ من الحديد، ويبلغ ارتفاعه 300 متر. يُمكنك الصعود إليه ورؤية المدينة بأكملها."
"elementary_maths",16699856507625472,"Eleementary Maths","Matemáticas de primaria","Matematica elementare","Mathématiques élémentaires","Matematyka podstawowa","Елементарна математика","Элементарная математика","Elementare Mathematik","Elemi matematika","Matematică elementară","الرياضيات الابتدائية"
"elementary_maths.desc",16699856507625473,"Numbers and shapes for everyday life: counting, adding and subtracting, simple fractions, measuring, telling time, and using money.","Números y formas para la vida cotidiana: contar, sumar y restar, fracciones simples, medir, decir la hora y usar el dinero.","Numeri e forme per la vita di tutti i giorni: contare, addizionare e sottrarre, frazioni semplici, misurare, leggere l'ora e usare il denaro.","Chiffres et formes de la vie quotidienne : compter, additionner et soustraire, fractions simples, mesurer, lire l'heure et utiliser l'argent.","Liczby i kształty potrzebne w codziennym życiu: liczenie, dodawanie, odejmowanie, proste ułamki, mierzenie, określanie czasu i korzystanie z pieniędzy.","Числа та фігури для повсякденного життя: рахунок, додавання та віднімання, прості дроби, вимірювання, визначення часу та використання грошей.","Числа и фигуры для повседневной жизни: счет, сложение и вычитание, простые дроби, измерение, определение времени и использование денег.","Zahlen und Formen für den Alltag: Zählen, Addieren und Subtrahieren, einfache Brüche, Messen, Uhrzeit angeben und mit Geld umgehen.","Számok és alakzatok a mindennapi élethez: számolás, összeadás és kivonás, egyszerű törtek, mérés, időmondás és pénzhasználat.","Numere și forme pentru viața de zi cu zi: numărare, adunare și scădere, fracții simple, măsurare, a spune timpul și folosirea banilor.","الأرقام والأشكال للحياة اليومية: العد، والجمع والطرح، والكسور البسيطة، والقياس، وإخبار الوقت، واستخدام النقود."
"eyepiece",8827921455112228,"Eyepiece","Ocular","Oculare","Oculaire","Okular","Окуляр","Окуляр","Okular","Szemlencse","Ocular","عدسة العين"
"eyepiece.desc",8827921455112229,"The small lens you look through on a telescope.","La pequeña lente a través de la cual miramos en un telescopio.","La piccola lente attraverso cui si guarda in un telescopio.","La petite lentille à travers laquelle vous regardez sur un télescope.","Mała soczewka, przez którą patrzysz w teleskopie.","Маленька лінза, через яку ви дивитесь у телескоп.","Маленькая линза, через которую вы смотрите в телескоп.","Die kleine Linse, durch die Sie in einem Teleskop schauen.","A kis lencse, amin keresztül nézel egy távcsőn.","Micul obiectiv prin care privești cu un telescop.","العدسة الصغيرة التي تنظر من خلالها في التلسكوب."
"feathered_hat",8827921455112230,"Feathered Hat","Sombrero de plumas","Cappello piumato","Chapeau à plumes","Kapelusz z piórami","Капелюх з пір'ям","Пернатая шляпа","Federhut","Tollas kalap","Pălărie cu pene","قبعة ريشية"
"feathered_hat.desc",8827921455112231,"A fine hat with a feather for style.","Un sombrero fino con una pluma que le da estilo.","Un bel cappello con una piuma per un tocco di stile.","Un beau chapeau avec une plume pour le style.","Elegancki kapelusz ze stylowym piórkiem.","Витончений капелюшок з пір'ям для стилю.","Изящная шляпа с пером для создания стиля.","Ein edler Hut mit einer Feder für den Stil.","Finom kalap tollal a stílusért.","O pălărie fină cu o penă pentru stil.","قبعة جميلة مع ريشة لإضافة لمسة من الأناقة."
"fisherman",8827921459306496,"Fisherman","Pescador","Pescatore","Pêcheur","Rybak","Рибалка","Рыбак","Fischer","Halász","Pescar","صياد السمك"
"fisherman.desc",8827921459306497,"A person who catches fish at sea.","Una persona que captura peces en el mar.","Persona che pesca in mare.","Une personne qui attrape du poisson en mer.","Osoba łowiąca ryby w morzu.","Людина, яка ловить рибу в морі.","Человек, который ловит рыбу в море.","Eine Person, die im Meer Fische fängt.","Olyan személy, aki halat fog a tengeren.","O persoană care prinde pește în mare.","الشخص الذي يصطاد الأسماك في البحر."
"fishing_net",8827921459306498,"Fishing Net","Red de pesca","Rete da pesca","Filet de pêche","Sieć rybacka","Рибальська сітка","Рыболовная сеть","Fischernetz","Halászháló","Plasă de pescuit","شبكة صيد السمك"
"fishing_net.desc",8827921459306499,"A net used to catch fish.","Una red utilizada para atrapar peces.","Una rete usata per catturare i pesci.","Un filet utilisé pour attraper du poisson.","Sieć służąca do połowu ryb.","Сітка для лову риби.","Сеть, используемая для ловли рыбы.","Ein Netz zum Fangen von Fischen.","Halfogásra használt háló.","O plasă folosită pentru a prinde pește.","شبكة تستخدم لصيد الأسماك."
"flag_andorra",7717548270280719,"Flag of Andorra","Bandera de Andorra","Bandiera di Andorra","Drapeau d'Andorre","Flaga Andory","Прапор Андорри","Флаг Андорры","Flagge Andorras","Andorra zászlaja","Steagul Andorrei","علم أندورا"
